Episode 2, Step 93, Action: 3, Reward: -1.00, Total Reward: -226.80
Episode 2, Step 94, Action: 1, Reward: -1.00, Total Reward: -228.80
Episode 2, Step 95, Action: 1, Reward: -1.00, Total Reward: -230.80
Episode 2, Step 96, Action: 3, Reward: -1.00, Total Reward: -232.80
Episode 2, Step 97, Action: 1, Reward: -1.00, Total Reward: -234.80
Episode 2, Step 98, Action: 0, Reward: -1.00, Total Reward: -236.80
Episode 2, Step 99, Action: 2, Reward: -2.30, Total Reward: -240.10
Episode 2, Step 100, Action: 3, Reward: -1.00, Total Reward: -242.10
Episode 2, Step 101, Action: 3, Reward: -1.00, Total Reward: -244.10
Episode 2, Step 102, Action: 0, Reward: -1.00, Total Reward: -248.50
Episode 2, Step 103, Action: 0, Reward: -1.00, Total Reward: -250.50
Episode 2, Step 104, Action: 2, Reward: -2.30, Total Reward: -253.80
Episode 2, Step 105, Action: 1, Reward: -1.00, Total Reward: -258.20
Episode 2, Step 106, Action: 3, Reward: -1.00, Total Reward: -260.20
Episode 2, Step 107, Action: 3, Reward: -1.00, Total Reward: -262.20
Episode 2, Step 108, Action: 3, Reward: -1.00, Total Reward: -264.20
Episode 2, Step 109, Action: 3, Reward: -1.00, Total Reward: -266.20
Episode 2, Step 110, Action: 3, Reward: -1.00, Total Reward: -268.20
Episode 2, Step 111, Action: 3, Reward: -1.00, Total Reward: -270.20
Episode 2, Step 112, Action: 3, Reward: -1.00, Total Reward: -272.20
Episode 2, Step 113, Action: 1, Reward: -1.00, Total Reward: -274.20
Episode 2, Step 114, Action: 0, Reward: -1.00, Total Reward: -276.20
Episode 2, Step 115, Action: 0, Reward: -1.00, Total Reward: -278.20
Episode 2, Step 116, Action: 2, Reward: -2.30, Total Reward: -281.50
Episode 2, Step 117, Action: 3, Reward: -1.00, Total Reward: -285.90
Episode 2, Step 118, Action: 0, Reward: -1.00, Total Reward: -287.90
Episode 2, Step 119, Action: 3, Reward: -1.00, Total Reward: -289.90
Episode 2, Step 120, Action: 3, Reward: -1.00, Total Reward: -291.90
Episode 2, Step 121, Action: 1, Reward: -1.00, Total Reward: -293.90
Episode 2, Step 122, Action: 3, Reward: -1.00, Total Reward: -295.90
Episode 2, Step 123, Action: 3, Reward: -1.00, Total Reward: -297.90
Episode 2, Step 124, Action: 0, Reward: -1.00, Total Reward: -299.90
Episode 2, Step 125, Action: 2, Reward: -2.30, Total Reward: -303.20
Episode 2, Step 126, Action: 2, Reward: -2.20, Total Reward: -306.40
Episode 2, Step 127, Action: 1, Reward: -1.00, Total Reward: -308.40
Episode 2, Step 128, Action: 3, Reward: -1.00, Total Reward: -310.40
Episode 2, Step 129, Action: 3, Reward: -1.00, Total Reward: -312.40
Episode 2, Step 130, Action: 3, Reward: -1.00, Total Reward: -314.40
Episode 2, Step 131, Action: 1, Reward: -1.00, Total Reward: -318.70
Episode 2, Step 132, Action: 0, Reward: -1.00, Total Reward: -323.10
Episode 2, Step 133, Action: 0, Reward: -1.00, Total Reward: -325.10
Episode 2, Step 134, Action: 3, Reward: -1.00, Total Reward: -327.10
Episode 2, Step 135, Action: 0, Reward: -1.00, Total Reward: -329.10
Episode 2, Step 136, Action: 0, Reward: -1.00, Total Reward: -331.10
Episode 2, Step 137, Action: 0, Reward: -1.00, Total Reward: -333.10
Episode 2, Step 138, Action: 0, Reward: -1.00, Total Reward: -335.10
Episode 2, Step 139, Action: 1, Reward: -1.00, Total Reward: -337.10
Episode 2, Step 140, Action: 0, Reward: -1.00, Total Reward: -339.10
Episode 2, Step 141, Action: 1, Reward: -1.00, Total Reward: -341.10
Episode 2, Step 142, Action: 0, Reward: -1.00, Total Reward: -343.10
Episode 2, Step 143, Action: 3, Reward: -1.00, Total Reward: -345.10
Episode 2, Step 144, Action: 3, Reward: -1.00, Total Reward: -347.10
Episode 2, Step 145, Action: 1, Reward: -1.00, Total Reward: -349.10
Episode 2, Step 146, Action: 0, Reward: -1.00, Total Reward: -351.10
Episode 2, Step 147, Action: 2, Reward: -2.30, Total Reward: -354.40
Episode 2, Step 148, Action: 1, Reward: -1.00, Total Reward: -356.40
Episode 2, Step 149, Action: 3, Reward: -1.00, Total Reward: -358.40
Episode 2, Step 150, Action: 1, Reward: -1.00, Total Reward: -360.40
Episode 2, Step 151, Action: 0, Reward: -1.00, Total Reward: -364.80
Episode 2, Step 152, Action: 3, Reward: -1.00, Total Reward: -366.80
Episode 2, Step 153, Action: 0, Reward: -1.00, Total Reward: -368.80
Episode 2, Step 154, Action: 3, Reward: -1.00, Total Reward: -370.80
Episode 2, Step 155, Action: 0, Reward: -1.00, Total Reward: -372.80
Episode 2, Step 156, Action: 1, Reward: -1.00, Total Reward: -376.10
Episode 2, Step 157, Action: 0, Reward: -1.00, Total Reward: -380.50
Episode 2, Step 158, Action: 0, Reward: -1.00, Total Reward: -382.50
Episode 2, Step 159, Action: 0, Reward: -1.00, Total Reward: -384.50
Episode 2, Step 160, Action: 1, Reward: -1.00, Total Reward: -386.50
